"","logFC","logCPM","LR","PValue","FDR"
"DPCD",0.151005596515568,4.08324998297635,1.41213636981678,0.234702067242842,0.99083117613231
"GOLGA5",0.104914640781308,6.22238655837377,1.41209447641002,0.234709009227956,0.99083117613231
"POLB",0.137444149145432,4.59374547897973,1.41204552701445,0.234717120746792,0.99083117613231
"ZNF292",-0.122240819585151,7.08976912255218,1.41180604482151,0.234756810789793,0.99083117613231
"SRPRB",0.0972398479816132,6.864598458972,1.41178983417561,0.234759497718145,0.99083117613231
"UBC",0.107856054793566,9.16647231857448,1.41144263428185,0.234817055329034,0.99083117613231
"ACACA",-0.14132254292358,6.19912221006494,1.41048071779525,0.234976607753046,0.99083117613231
"DDI2",-0.109881658024868,5.77219883655215,1.40948433008635,0.235142016230953,0.99083117613231
"TDP2",0.0938614158232887,6.7714421630883,1.40910891986191,0.23520437393051,0.99083117613231
"GPR107",-0.102522820845868,6.80799864321115,1.40895520252937,0.235229912998464,0.99083117613231
"RGS2",0.17387032489311,5.14951031633116,1.40840287661487,0.23532170581556,0.99083117613231
"ABCC1",-0.106799545156273,6.56866139587297,1.40642439727904,0.235650871678112,0.99083117613231
"MPHOSPH6",0.151620500284786,4.30225777912519,1.40520653653978,0.235853768205423,0.99083117613231
"FMNL3",-0.3249902362578,1.87664492564478,1.40520461130378,0.235854089118633,0.99083117613231
"EIF1B",0.106232045422164,6.61672107003789,1.40418061119266,0.236024852330329,0.99083117613231
"BICDL1",-0.265515629303062,1.9258508047143,1.40334540417604,0.23616424311139,0.99083117613231
"GTF2F2",0.10633635240262,5.89591994755001,1.4030167284747,0.236219124350837,0.99083117613231
"DNAH14",0.178389891853537,3.2582589659714,1.40264314999315,0.236281522076018,0.99083117613231
"MSH2",0.0910149948747543,7.37186123239025,1.40022397784556,0.236686073053835,0.99083117613231
"MIR4687",-0.113368101581737,5.62948770292008,1.39983497249788,0.236751203568925,0.99083117613231
"ABCA1",-0.444522654511981,1.0587504601051,1.39945589001717,0.236814693612222,0.99083117613231
